component_id,component_type,parameter_name,unit,lot_id,temperature_c,value_0h,value_24h,value_96h,value_168h
TEST-0058,Memory IC,Standby Current,µA,LOT-10,124.2,24.9259,24.7629,24.9947,25.9163
TEST-0059,Memory IC,Standby Current,µA,LOT-07,124.0,24.7521,24.0203,23.1359,24.9140
TEST-0060,Memory IC,Standby Current,µA,LOT-09,124.4,25.2472,25.1461,25.6230,26.1985
TEST-0061,Memory IC,Standby Current,µA,LOT-12,123.1,25.1157,26.9542,38.2670,50.4664
TEST-0062,Memory IC,Standby Current,µA,LOT-NEW-C,122.9,24.4147,28.0994,38.8582,49.9015
TEST-0063,Memory IC,Standby Current,µA,LOT-10,124.2,24.7577,30.5260,34.8458,49.5658
TEST-0064,Memory IC,Standby Current,µA,LOT-06,124.4,25.5247,29.6164,36.9727,53.2789
TEST-0065,Memory IC,Standby Current,µA,LOT-08,126.1,25.3851,27.8655,34.8789,55.8444
TEST-0066,Memory IC,Standby Current,µA,LOT-14,125.8,24.9910,27.7054,38.3635,46.7699
TEST-0067,Memory IC,Standby Current,µA,LOT-07,127.3,25.8903,28.9085,37.7730,54.2090
TEST-0068,Memory IC,Standby Current,µA,LOT-NEW-B,126.5,24.7325,27.5069,38.1958,55.8298
TEST-0069,Memory IC,Standby Current,µA,LOT-15,125.6,25.0023,28.0108,36.6858,51.4633
TEST-0070,Memory IC,Standby Current,µA,LOT-15,127.3,25.7454,27.8441,33.8797,52.3819
TEST-0071,Memory IC,Standby Current,µA,LOT-17,123.2,24.4926,27.0841,32.9094,47.1082
TEST-0072,Memory IC,Standby Current,µA,LOT-01,125.0,23.3700,27.6776,35.7293,49.1052
TEST-0073,Memory IC,Standby Current,µA,LOT-NEW-B,125.7,24.8795,25.8323,39.7446,49.6809
TEST-0074,Memory IC,Standby Current,µA,LOT-08,126.6,24.2293,27.6709,38.5769,50.8775
TEST-0075,Memory IC,Standby Current,µA,LOT-NEW-B,127.2,25.4244,27.7587,37.4589,51.7304
TEST-0076,Memory IC,Standby Current,µA,LOT-06,122.1,25.4584,27.6720,34.6295,45.4536
TEST-0077,Memory IC,Standby Current,µA,LOT-14,127.1,25.1668,27.0430,44.5861,64.4081
TEST-0078,Memory IC,Standby Current,µA,LOT-06,124.4,24.6492,26.6363,37.9710,63.7553
TEST-0079,Memory IC,Standby Current,µA,LOT-NEW-A,126.5,24.9134,28.5682,36.5694,52.0567
TEST-0080,Memory IC,Standby Current,µA,LOT-14,124.6,25.6657,27.0009,39.9983,59.8926
TEST-0081,Memory IC,Standby Current,µA,LOT-08,126.1,25.3231,25.4918,36.3868,50.5710
TEST-0082,Memory IC,Standby Current,µA,LOT-11,123.6,24.7057,28.4501,35.4187,62.7200
TEST-0083,Memory IC,Standby Current,µA,LOT-20,127.2,25.6135,27.7313,35.3000,64.7004
TEST-0084,Memory IC,Standby Current,µA,LOT-09,125.8,25.7861,25.9908,41.1201,51.1295
TEST-0085,Memory IC,Standby Current,µA,LOT-08,123.4,24.7940,54.7549,32.4397,28.6736
TEST-0086,Memory IC,Standby Current,µA,LOT-NEW-A,122.4,25.7906,58.3878,31.0260,29.0645
TEST-0087,Memory IC,Standby Current,µA,LOT-07,125.7,25.4829,63.0978,30.5428,29.0791
TEST-0088,Memory IC,Standby Current,µA,LOT-04,123.4,25.3473,64.5018,29.2941,30.2339
TEST-0089,Memory IC,Standby Current,µA,LOT-06,124.8,25.0084,66.4601,31.2189,29.2009
TEST-0090,Memory IC,Standby Current,µA,LOT-04,126.6,25.9497,62.3228,33.6544,34.8478
TEST-0091,Memory IC,Standby Current,µA,LOT-02,124.8,25.2605,48.3691,30.7983,34.6483
TEST-0092,Memory IC,Standby Current,µA,LOT-20,125.4,25.1856,52.9044,32.2506,32.5891
TEST-0093,Memory IC,Standby Current,µA,LOT-12,126.5,24.9195,68.9167,28.0872,34.5781
TEST-0094,Memory IC,Standby Current,µA,LOT-12,122.3,24.5274,50.6006,29.7241,33.1240
TEST-0095,Memory IC,Standby Current,µA,LOT-NEW-B,125.7,24.8510,58.5989,31.0933,30.8340
TEST-0096,Memory IC,Standby Current,µA,LOT-02,127.5,26.4773,55.3493,30.5422,35.2857
TEST-0097,ADC,Leakage Current,µA,LOT-07,125.2,4.8818,5.1950,5.4509,5.6758
TEST-0098,ADC,Leakage Current,µA,LOT-06,126.1,5.0335,5.1655,5.2805,5.6879
TEST-0099,ADC,Leakage Current,µA,LOT-12,123.1,4.9622,5.3541,5.2497,5.5609
TEST-0100,ADC,Leakage Current,µA,LOT-NEW-A,126.5,5.1702,5.2269,5.2682,5.7216
TEST-0101,ADC,Leakage Current,µA,LOT-08,122.9,4.8499,4.8115,4.9923,5.2656
TEST-0102,ADC,Leakage Current,µA,LOT-05,126.6,5.0045,5.4550,5.3778,5.4371
TEST-0103,ADC,Leakage Current,µA,LOT-NEW-C,124.0,4.7195,4.9913,5.1981,5.5125
TEST-0104,ADC,Leakage Current,µA,LOT-06,123.0,5.2061,5.3850,5.5925,5.5512
TEST-0105,ADC,Leakage Current,µA,LOT-04,122.7,5.1290,5.3166,5.3676,5.5177
TEST-0106,ADC,Leakage Current,µA,LOT-11,126.7,5.0310,4.9373,4.8979,5.3240
TEST-0107,ADC,Leakage Current,µA,LOT-04,127.1,5.1470,5.6939,6.0653,6.2881
TEST-0108,ADC,Leakage Current,µA,LOT-NEW-B,127.3,4.9121,4.9625,5.3416,5.4366
TEST-0109,ADC,Leakage Current,µA,LOT-19,125.7,4.9856,6.3647,8.1473,16.6994
TEST-0110,ADC,Leakage Current,µA,LOT-06,124.9,5.0307,6.4780,8.3913,13.4148
TEST-0111,ADC,Leakage Current,µA,LOT-04,122.8,4.9976,6.8567,10.1131,13.3189
TEST-0112,ADC,Leakage Current,µA,LOT-03,127.4,4.9125,6.6024,8.1936,14.7316
TEST-0113,ADC,Leakage Current,µA,LOT-11,122.3,4.9735,5.8522,8.7630,13.0739
TEST-0114,ADC,Leakage Current,µA,LOT-20,125.2,4.9818,5.8762,9.1756,12.4329
TEST-0115,ADC,Leakage Current,µA,LOT-07,122.4,4.8121,6.2526,8.1171,13.4821
TEST-0116,ADC,Leakage Current,µA,LOT-NEW-C,125.6,5.0305,5.9888,7.9163,12.9497
TEST-0117,ADC,Leakage Current,µA,LOT-17,122.3,4.9883,6.6004,7.9819,12.3959
TEST-0118,ADC,Leakage Current,µA,LOT-01,124.3,4.8333,5.9349,9.0257,14.8609
TEST-0119,ADC,Leakage Current,µA,LOT-17,126.6,4.9538,6.0617,10.7170,10.8054
TEST-0120,ADC,Leakage Current,µA,LOT-15,126.9,5.1916,6.1639,10.9744,11.9546
TEST-0121,ADC,Leakage Current,µA,LOT-09,125.5,4.9719,5.7508,10.4289,14.3124
TEST-0122,ADC,Leakage Current,µA,LOT-07,127.0,5.1534,5.6686,12.1977,13.6092
TEST-0123,ADC,Leakage Current,µA,LOT-13,124.6,4.9475,6.2283,11.0371,19.6348
TEST-0124,ADC,Leakage Current,µA,LOT-01,122.4,5.1006,5.8680,10.8520,17.2665
TEST-0125,ADC,Leakage Current,µA,LOT-05,122.8,5.0715,5.9315,9.5875,12.6986
TEST-0126,ADC,Leakage Current,µA,LOT-02,126.9,4.9199,5.2677,10.7834,18.8561
TEST-0127,ADC,Leakage Current,µA,LOT-NEW-C,125.5,5.0671,5.5798,9.4541,18.6526
TEST-0128,ADC,Leakage Current,µA,LOT-10,123.9,4.9208,6.0554,11.1362,14.5893
TEST-0129,ADC,Leakage Current,µA,LOT-02,122.2,4.9693,5.5502,12.0722,17.1302
TEST-0130,ADC,Leakage Current,µA,LOT-14,125.2,4.9322,5.7937,8.7132,18.6129
TEST-0131,ADC,Leakage Current,µA,LOT-14,126.4,5.1008,6.0225,12.5912,16.1909
TEST-0132,ADC,Leakage Current,µA,LOT-16,123.3,4.6853,5.6295,11.0668,19.7689
TEST-0133,ADC,Leakage Current,µA,LOT-03,126.9,4.5398,17.0299,6.2372,7.2647
TEST-0134,ADC,Leakage Current,µA,LOT-14,124.8,5.1939,20.3015,6.0823,8.8165
TEST-0135,ADC,Leakage Current,µA,LOT-08,124.9,5.0733,17.8260,7.3515,8.0096
TEST-0136,ADC,Leakage Current,µA,LOT-15,125.2,5.0418,18.3386,7.5620,8.4614
TEST-0137,ADC,Leakage Current,µA,LOT-NEW-B,126.0,4.8554,16.9170,6.3540,8.3604
TEST-0138,ADC,Leakage Current,µA,LOT-11,127.3,4.8157,17.6388,6.7297,7.1493
TEST-0139,ADC,Leakage Current,µA,LOT-06,123.1,5.0675,16.1414,7.9514,8.3679
TEST-0140,ADC,Leakage Current,µA,LOT-04,124.4,4.8406,15.0870,7.7472,8.5684
TEST-0141,ADC,Leakage Current,µA,LOT-10,125.2,4.9192,17.7489,6.8284,8.3561
TEST-0142,ADC,Leakage Current,µA,LOT-14,125.2,4.9131,19.6810,7.1590,7.6736
TEST-0143,ADC,Leakage Current,µA,LOT-06,125.9,4.8961,15.4002,7.1284,6.0644
TEST-0144,ADC,Leakage Current,µA,LOT-09,125.6,5.1268,19.9223,7.2599,7.5913
TEST-0145,Driver IC,Propagation Delay,ns,LOT-11,126.3,18.0699,17.8772,18.7587,19.1097
TEST-0146,Driver IC,Propagation Delay,ns,LOT-17,124.0,17.5514,18.3751,18.5448,18.9143
TEST-0147,Driver IC,Propagation Delay,ns,LOT-15,122.3,18.1507,18.9177,20.0998,21.1738
TEST-0148,Driver IC,Propagation Delay,ns,LOT-13,123.7,18.1465,18.4892,18.5753,18.3278
TEST-0149,Driver IC,Propagation Delay,ns,LOT-17,126.4,19.2638,19.3273,20.0909,21.0960
TEST-0150,Driver IC,Propagation Delay,ns,LOT-18,127.5,17.8656,17.2728,17.9520,17.6119
TEST-0151,Driver IC,Propagation Delay,ns,LOT-05,125.7,18.0840,17.8982,17.9712,17.7828
TEST-0152,Driver IC,Propagation Delay,ns,LOT-09,122.8,17.6341,18.2521,18.4283,18.6894
TEST-0153,Driver IC,Propagation Delay,ns,LOT-13,122.1,18.7027,19.2472,20.0835,20.9929
TEST-0154,Driver IC,Propagation Delay,ns,LOT-NEW-A,122.8,17.8310,17.6993,17.9989,18.9567
TEST-0155,Driver IC,Propagation Delay,ns,LOT-18,126.6,18.4155,19.3700,19.3109,18.9300
TEST-0156,Driver IC,Propagation Delay,ns,LOT-07,122.8,17.3539,17.4151,17.4966,17.6372
TEST-0157,Driver IC,Propagation Delay,ns,LOT-02,122.9,17.1354,20.1257,23.2629,32.3419
TEST-0158,Driver IC,Propagation Delay,ns,LOT-19,124.0,17.6644,19.7640,24.3037,27.4440
TEST-0159,Driver IC,Propagation Delay,ns,LOT-01,126.9,17.5323,19.9325,23.7969,29.8226
TEST-0160,Driver IC,Propagation Delay,ns,LOT-NEW-C,127.0,17.8202,19.4188,24.2591,31.0163
TEST-0161,Driver IC,Propagation Delay,ns,LOT-11,123.5,17.5509,20.4302,23.3624,29.6708
TEST-0162,Driver IC,Propagation Delay,ns,LOT-07,126.3,17.6000,19.0119,23.1066,31.5849
TEST-0163,Driver IC,Propagation Delay,ns,LOT-NEW-C,124.6,17.6152,19.7523,23.6897,32.6534
TEST-0164,Driver IC,Propagation Delay,ns,LOT-02,125.7,18.2130,19.0829,24.0351,30.3288
TEST-0165,Driver IC,Propagation Delay,ns,LOT-15,122.1,17.8255,19.8212,25.3145,33.5312
TEST-0166,Driver IC,Propagation Delay,ns,LOT-05,125.5,18.1170,19.0090,22.8993,29.6107
TEST-0167,Driver IC,Propagation Delay,ns,LOT-02,122.4,17.5139,20.1965,24.5524,29.5308
TEST-0168,Driver IC,Propagation Delay,ns,LOT-20,123.2,17.2105,19.8621,23.7436,31.2531
TEST-0169,Driver IC,Propagation Delay,ns,LOT-01,124.6,17.9509,19.2936,28.1101,28.9955
TEST-0170,Driver IC,Propagation Delay,ns,LOT-19,126.0,18.0316,19.4372,23.3458,35.9296
TEST-0171,Driver IC,Propagation Delay,ns,LOT-NEW-C,122.3,17.5606,19.1036,27.5627,28.2517
TEST-0172,Driver IC,Propagation Delay,ns,LOT-20,124.0,18.3029,19.4952,24.1264,28.2438
TEST-0173,Driver IC,Propagation Delay,ns,LOT-15,124.6,17.7629,19.6119,23.8130,35.9501
TEST-0174,Driver IC,Propagation Delay,ns,LOT-15,126.6,18.6594,18.9291,25.4649,35.4344
TEST-0175,Driver IC,Propagation Delay,ns,LOT-20,124.1,17.9893,18.6812,26.2196,29.9057
TEST-0176,Driver IC,Propagation Delay,ns,LOT-08,126.9,18.1154,18.2963,23.8453,36.4087
TEST-0177,Driver IC,Propagation Delay,ns,LOT-NEW-A,127.0,18.3041,18.4279,24.8001,34.2626
TEST-0178,Driver IC,Propagation Delay,ns,LOT-03,122.3,17.5538,18.8672,26.7410,29.9760
TEST-0179,Driver IC,Propagation Delay,ns,LOT-07,122.3,18.4751,18.3710,24.4451,31.4261
TEST-0180,Driver IC,Propagation Delay,ns,LOT-17,123.0,18.6636,18.6199,25.1636,29.7853
TEST-0181,Driver IC,Propagation Delay,ns,LOT-12,126.8,17.6671,33.3279,20.8080,20.3252
TEST-0182,Driver IC,Propagation Delay,ns,LOT-15,122.1,17.7821,33.5107,19.1422,20.6032
TEST-0183,Driver IC,Propagation Delay,ns,LOT-NEW-C,126.5,17.4842,28.5863,20.8587,21.1504
TEST-0184,Driver IC,Propagation Delay,ns,LOT-09,122.2,17.7747,33.9997,20.2352,19.1776
TEST-0185,Driver IC,Propagation Delay,ns,LOT-15,122.5,17.2294,33.9037,21.0624,21.7643
TEST-0186,Driver IC,Propagation Delay,ns,LOT-08,122.9,17.7058,32.1433,21.0109,20.2296
TEST-0187,Driver IC,Propagation Delay,ns,LOT-08,123.4,18.4483,35.5305,20.0722,21.8078
TEST-0188,Driver IC,Propagation Delay,ns,LOT-16,123.6,18.1558,27.4466,19.4480,20.3871
TEST-0189,Driver IC,Propagation Delay,ns,LOT-04,127.0,17.6209,29.8533,19.9955,19.6753
TEST-0190,Driver IC,Propagation Delay,ns,LOT-15,127.1,18.2614,33.3730,20.4227,20.0335
TEST-0191,Driver IC,Propagation Delay,ns,LOT-05,123.8,18.1782,35.1265,18.9561,20.1258
TEST-0192,Driver IC,Propagation Delay,ns,LOT-04,125.0,18.4873,32.8153,19.4383,21.5898
TEST-0193,Logic IC,Iddq,µA,LOT-NEW-A,124.7,9.9735,10.3936,,
TEST-0194,Logic IC,Iddq,µA,LOT-16,123.6,10.5224,11.1174,,
TEST-0195,Logic IC,Iddq,µA,LOT-NEW-A,122.9,10.2614,10.4031,,
TEST-0196,Logic IC,Iddq,µA,LOT-10,127.2,10.2201,12.4446,,
TEST-0197,Logic IC,Iddq,µA,LOT-NEW-B,125.9,9.4938,12.0455,,
TEST-0198,Logic IC,Iddq,µA,LOT-NEW-A,125.5,10.2497,12.1350,,
TEST-0199,Logic IC,Iddq,µA,LOT-NEW-B,123.8,10.0272,37.7507,,
TEST-0200,Logic IC,Iddq,µA,LOT-16,123.4,10.1555,27.6008,,
TEST-0201,Logic IC,Iddq,µA,LOT-12,122.4,10.3789,35.5776,,
TEST-0202,Memory IC,Standby Current,µA,LOT-08,126.8,24.4555,25.2740,,
TEST-0203,Memory IC,Standby Current,µA,LOT-16,122.9,24.8223,26.0926,,
TEST-0204,Memory IC,Standby Current,µA,LOT-18,125.2,25.3670,26.1151,,
TEST-0205,Memory IC,Standby Current,µA,LOT-15,123.5,25.0750,28.1891,,
TEST-0206,Memory IC,Standby Current,µA,LOT-NEW-B,127.2,25.0237,29.1757,,
TEST-0207,Memory IC,Standby Current,µA,LOT-NEW-C,123.9,25.1187,27.4932,,
TEST-0208,Memory IC,Standby Current,µA,LOT-NEW-B,124.2,24.6877,62.4294,,
TEST-0209,Memory IC,Standby Current,µA,LOT-11,124.9,23.7492,66.3045,,
TEST-0210,Memory IC,Standby Current,µA,LOT-NEW-B,127.5,24.6475,51.0648,,
TEST-0211,ADC,Leakage Current,µA,LOT-02,123.5,5.1134,5.0308,,
TEST-0212,ADC,Leakage Current,µA,LOT-02,125.6,4.9176,4.9920,,
TEST-0213,ADC,Leakage Current,µA,LOT-NEW-C,124.8,5.3269,5.4512,,
TEST-0214,ADC,Leakage Current,µA,LOT-14,123.2,4.8938,6.5063,,
TEST-0215,ADC,Leakage Current,µA,LOT-18,123.2,4.9589,6.2316,,
TEST-0216,ADC,Leakage Current,µA,LOT-13,123.5,5.1480,6.7032,,
TEST-0217,ADC,Leakage Current,µA,LOT-07,124.1,4.9272,14.1958,,
TEST-0218,ADC,Leakage Current,µA,LOT-04,125.7,5.0198,17.1872,,
TEST-0219,ADC,Leakage Current,µA,LOT-NEW-A,124.6,4.7824,19.3520,,
TEST-0220,Driver IC,Propagation Delay,ns,LOT-05,122.8,17.3251,17.8352,,
TEST-0221,Driver IC,Propagation Delay,ns,LOT-09,124.1,18.7558,18.7251,,
TEST-0222,Driver IC,Propagation Delay,ns,LOT-13,126.4,17.6717,18.5628,,
TEST-0223,Driver IC,Propagation Delay,ns,LOT-13,123.1,18.4720,20.6635,,
TEST-0224,Driver IC,Propagation Delay,ns,LOT-01,124.4,17.1409,19.1957,,
TEST-0225,Driver IC,Propagation Delay,ns,LOT-14,122.5,18.5142,19.3307,,
TEST-0226,Driver IC,Propagation Delay,ns,LOT-13,124.2,17.5629,32.0700,,
TEST-0227,Driver IC,Propagation Delay,ns,LOT-19,124.8,17.7281,33.7079,,
TEST-0228,Driver IC,Propagation Delay,ns,LOT-NEW-B,122.9,17.8989,32.7699,,
TEST-0229,Logic IC,Iddq,µA,LOT-17,125.5,10.1386,10.8769,11.0329,
TEST-0230,Logic IC,Iddq,µA,LOT-14,122.1,10.0186,10.3225,10.9290,
TEST-0231,Logic IC,Iddq,µA,LOT-NEW-A,124.3,9.6827,9.8784,9.4519,
TEST-0232,Logic IC,Iddq,µA,LOT-NEW-A,124.4,9.7036,11.5091,15.6555,
TEST-0233,Logic IC,Iddq,µA,LOT-01,126.7,9.8686,11.4145,16.1810,
TEST-0234,Logic IC,Iddq,µA,LOT-03,124.4,9.8409,12.3007,15.5288,
TEST-0235,Logic IC,Iddq,µA,LOT-08,124.3,10.0250,11.6289,17.8364,
TEST-0236,Logic IC,Iddq,µA,LOT-16,125.9,10.0927,11.5846,20.2457,
TEST-0237,Logic IC,Iddq,µA,LOT-NEW-A,123.8,10.1301,11.3035,16.4832,
TEST-0238,Memory IC,Standby Current,µA,LOT-11,123.6,24.8490,25.2035,25.7111,
TEST-0239,Memory IC,Standby Current,µA,LOT-02,126.3,24.9794,25.6126,26.3358,
TEST-0240,Memory IC,Standby Current,µA,LOT-15,123.1,25.4666,24.9560,25.4134,
TEST-0241,Memory IC,Standby Current,µA,LOT-17,127.4,25.2791,29.9691,41.2098,
TEST-0242,Memory IC,Standby Current,µA,LOT-13,126.2,24.7312,29.2764,33.3590,
TEST-0243,Memory IC,Standby Current,µA,LOT-19,126.9,25.0533,29.1744,38.6166,
TEST-0244,Memory IC,Standby Current,µA,LOT-NEW-B,124.2,25.2864,25.7930,42.5384,
TEST-0245,Memory IC,Standby Current,µA,LOT-15,125.6,25.1619,26.9001,36.3014,
TEST-0246,Memory IC,Standby Current,µA,LOT-14,123.6,25.7702,27.2485,44.1175,
TEST-0247,ADC,Leakage Current,µA,LOT-20,124.1,4.9763,4.8217,5.0300,
TEST-0248,ADC,Leakage Current,µA,LOT-NEW-B,125.7,4.7544,4.6543,4.6566,
TEST-0249,ADC,Leakage Current,µA,LOT-01,127.4,5.1944,5.5324,5.9584,
TEST-0250,ADC,Leakage Current,µA,LOT-02,126.1,5.0265,6.6235,10.4466,
TEST-0251,ADC,Leakage Current,µA,LOT-09,126.6,4.8631,6.7309,9.2323,
TEST-0252,ADC,Leakage Current,µA,LOT-17,122.2,5.2188,6.3632,9.6062,
TEST-0253,ADC,Leakage Current,µA,LOT-18,124.0,4.9867,6.3652,11.0313,
TEST-0254,ADC,Leakage Current,µA,LOT-07,125.8,4.9467,5.9030,10.3409,
TEST-0255,ADC,Leakage Current,µA,LOT-NEW-C,125.0,4.9247,6.2152,9.1575,
TEST-0256,Driver IC,Propagation Delay,ns,LOT-06,122.1,17.8973,17.9852,18.1271,
TEST-0257,Driver IC,Propagation Delay,ns,LOT-02,124.6,18.3018,18.5614,18.7162,
TEST-0258,Driver IC,Propagation Delay,ns,LOT-06,126.1,17.8857,18.0362,17.7715,
TEST-0259,Driver IC,Propagation Delay,ns,LOT-16,125.4,18.4461,20.0163,23.1765,
TEST-0260,Driver IC,Propagation Delay,ns,LOT-09,127.3,17.9077,19.9646,21.9239,
TEST-0261,Driver IC,Propagation Delay,ns,LOT-06,123.3,18.5103,19.9540,24.0478,
TEST-0262,Driver IC,Propagation Delay,ns,LOT-NEW-B,124.2,18.1604,18.3972,23.8297,
TEST-0263,Driver IC,Propagation Delay,ns,LOT-NEW-A,122.9,17.5296,18.7741,24.3551,
TEST-0264,Driver IC,Propagation Delay,ns,LOT-13,126.7,18.0966,19.1005,23.9490,
TEST-0265,Logic IC,Iddq,µA,LOT-14,122.8,10.0000,22.0000,34.0000,50.0000
TEST-0266,Logic IC,Iddq,µA,LOT-NEW-A,124.8,10.0000,10.0000,10.0000,10.0000
TEST-0267,Logic IC,Iddq,µA,LOT-15,131.0,9.7999,10.1426,10.8081,10.6187
TEST-0268,Logic IC,Iddq,µA,LOT-SOLO-LOG,124.9,10.1252,11.9978,17.0535,24.2038
TEST-0269,Memory IC,Standby Current,µA,LOT-05,127.4,25.0000,41.5000,58.0000,80.0000
TEST-0270,Memory IC,Standby Current,µA,LOT-20,122.4,25.0000,25.0000,25.0000,25.0000
TEST-0271,Memory IC,Standby Current,µA,LOT-05,131.0,25.2934,24.8808,25.0644,25.4041
TEST-0272,Memory IC,Standby Current,µA,LOT-SOLO-MEM,122.5,24.8602,29.9610,33.5052,48.8560
