component_id,component_type,parameter_name,lot_id,risk_level,risk_score,anomaly_flag,behavior_pattern,input_stage,predicted_168h,is_risky
CMP-000019,ADC,Leakage Current,LOT-16,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,19.87622172111679,True
CMP-000020,Driver IC,Propagation Delay,LOT-12,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,20.546156602348884,True
CMP-000021,Logic IC,Iddq,LOT-01,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,13.693375514550269,True
CMP-000022,Memory IC,Standby Current,LOT-20,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,66.75234917971149,True
CMP-000023,ADC,Leakage Current,LOT-20,LOW,15.0,0,NORMAL,0h_24h_96h,5.770939957187656,False
CMP-000024,Driver IC,Propagation Delay,LOT-15,LOW,0.0,0,NORMAL,0h_24h_96h,18.630949118121443,False
CMP-000025,Logic IC,Iddq,LOT-17,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,35.342375147222235,True
CMP-000026,Memory IC,Standby Current,LOT-07,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,67.82839288088239,True
CMP-000027,ADC,Leakage Current,LOT-13,LOW,0.0,0,NORMAL,0h_24h_96h,5.494827358500282,False
CMP-000028,Driver IC,Propagation Delay,LOT-13,MEDIUM,30.0,0,NORMAL,0h_24h_96h,17.944882090196487,True
CMP-000029,Logic IC,Iddq,LOT-14,MEDIUM,30.0,0,NORMAL,0h_24h_96h,11.635407109259274,True
CMP-000030,Memory IC,Standby Current,LOT-19,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,61.642865326143834,True
CMP-000031,ADC,Leakage Current,LOT-04,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,21.297970915403315,True
CMP-000032,Driver IC,Propagation Delay,LOT-17,MEDIUM,30.0,0,NORMAL,0h_24h_96h,17.74066047022655,True
CMP-000033,Logic IC,Iddq,LOT-10,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,43.921779626587295,True
CMP-000034,Memory IC,Standby Current,LOT-14,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,32.166959681782394,True
CMP-000035,ADC,Leakage Current,LOT-14,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,7.566646033433329,True
CMP-000036,Driver IC,Propagation Delay,LOT-20,MEDIUM,30.0,0,NORMAL,0h_24h_96h,17.960790299862882,True
CMP-000037,Logic IC,Iddq,LOT-14,LOW,0.0,0,NORMAL,0h_24h_96h,11.283682005026456,False
CMP-000038,Memory IC,Standby Current,LOT-06,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,58.74329421119409,True
CMP-000039,ADC,Leakage Current,LOT-14,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,19.09943997167793,True
CMP-000040,Driver IC,Propagation Delay,LOT-17,LOW,15.0,0,NORMAL,0h_24h_96h,18.248947026424975,False
CMP-000041,Logic IC,Iddq,LOT-10,LOW,0.0,0,NORMAL,0h_24h_96h,10.76788361031746,False
CMP-000042,Memory IC,Standby Current,LOT-15,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,68.0581048583217,True
CMP-000043,ADC,Leakage Current,LOT-20,LOW,0.0,0,NORMAL,0h_24h_96h,5.41000104548697,False
CMP-000044,Driver IC,Propagation Delay,LOT-03,LOW,0.0,0,NORMAL,0h_24h_96h,18.560702422598002,False
CMP-000045,Logic IC,Iddq,LOT-05,MEDIUM,36.0,0,NORMAL,0h_24h_96h,10.884985444576722,True
CMP-000046,Memory IC,Standby Current,LOT-16,LOW,0.0,0,NORMAL,0h_24h_96h,25.786107015257166,False
CMP-000047,ADC,Leakage Current,LOT-02,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,21.388069958816494,True
CMP-000048,Driver IC,Propagation Delay,LOT-15,LOW,0.0,0,NORMAL,0h_24h_96h,18.84763190151912,False
CMP-000049,Logic IC,Iddq,LOT-15,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,14.655268669841261,True
CMP-000050,Memory IC,Standby Current,LOT-04,LOW,0.0,0,NORMAL,0h_24h_96h,26.22804281880396,False
CMP-000051,ADC,Leakage Current,LOT-15,LOW,0.0,0,NORMAL,0h_24h_96h,5.41000104548697,False
CMP-000052,Driver IC,Propagation Delay,LOT-10,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,43.17084002547988,True
CMP-000053,Logic IC,Iddq,LOT-12,LOW,0.0,0,NORMAL,0h_24h_96h,10.714682507539692,False
CMP-000054,Memory IC,Standby Current,LOT-10,MEDIUM,30.0,0,NORMAL,0h_24h_96h,26.474567715241346,True
CMP-000055,ADC,Leakage Current,LOT-20,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,21.444690355608945,True
CMP-000056,Driver IC,Propagation Delay,LOT-16,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,21.55417590842642,True
CMP-000057,Logic IC,Iddq,LOT-18,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,12.776811869312171,True
CMP-000058,Memory IC,Standby Current,LOT-20,LOW,15.0,0,NORMAL,0h_24h_96h,25.432716296745223,False
CMP-000059,ADC,Leakage Current,LOT-19,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,21.93097222403272,True
CMP-000060,Driver IC,Propagation Delay,LOT-05,MEDIUM,30.0,0,NORMAL,0h_24h_96h,17.559831333425286,True
CMP-000061,Logic IC,Iddq,LOT-14,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,35.48923918531748,True
CMP-000062,Memory IC,Standby Current,LOT-07,MEDIUM,30.0,0,NORMAL,0h_24h_96h,27.280535124809898,True
CMP-000063,ADC,Leakage Current,LOT-18,MEDIUM,30.0,0,NORMAL,0h_24h_96h,5.1255399140647615,True
CMP-000064,Driver IC,Propagation Delay,LOT-20,LOW,0.0,0,NORMAL,0h_24h_96h,18.78741341433656,False
CMP-000065,Logic IC,Iddq,LOT-18,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,32.465298892724874,True
CMP-000066,Memory IC,Standby Current,LOT-10,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,30.251681159443184,True
CMP-000067,ADC,Leakage Current,LOT-18,LOW,0.0,0,NORMAL,0h_24h_96h,5.225513925277168,False
CMP-000068,Driver IC,Propagation Delay,LOT-03,LOW,0.0,0,NORMAL,0h_24h_96h,18.769625182353217,False
CMP-000069,Logic IC,Iddq,LOT-19,LOW,0.0,0,NORMAL,0h_24h_96h,10.604494568518506,False
CMP-000070,Memory IC,Standby Current,LOT-10,MEDIUM,30.0,0,NORMAL,0h_24h_96h,26.197531439684592,True
CMP-000071,ADC,Leakage Current,LOT-10,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,21.264458514790586,True
CMP-000072,Driver IC,Propagation Delay,LOT-01,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,41.81559643990944,True
CMP-000073,Logic IC,Iddq,LOT-15,MEDIUM,36.0,0,NORMAL,0h_24h_96h,11.23537302976191,True
CMP-000074,Memory IC,Standby Current,LOT-07,LOW,15.0,0,NORMAL,0h_24h_96h,25.618379798329947,False
CMP-000075,ADC,Leakage Current,LOT-02,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,20.25638675198742,True
CMP-000076,Driver IC,Propagation Delay,LOT-18,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,41.31289993318176,True
CMP-000077,Logic IC,Iddq,LOT-15,LOW,0.0,0,NORMAL,0h_24h_96h,10.691086523280417,False
CMP-000078,Memory IC,Standby Current,LOT-20,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,31.739778548321134,True
CMP-000079,ADC,Leakage Current,LOT-13,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,19.624961017719585,True
CMP-000080,Driver IC,Propagation Delay,LOT-08,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,38.782584098928,True
CMP-000081,Logic IC,Iddq,LOT-12,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,32.61736255185181,True
CMP-000082,Memory IC,Standby Current,LOT-12,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,30.715210644474887,True
CMP-000083,ADC,Leakage Current,LOT-02,LOW,21.0,0,NORMAL,0h_24h_96h,5.2281092669025675,False
CMP-000084,Driver IC,Propagation Delay,LOT-10,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,20.94649015902335,True
CMP-000085,Logic IC,Iddq,LOT-17,LOW,0.0,0,NORMAL,0h_24h_96h,10.535096973809523,False
CMP-000086,Memory IC,Standby Current,LOT-17,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,72.90036336630989,True
CMP-000087,ADC,Leakage Current,LOT-13,LOW,0.0,0,NORMAL,0h_24h_96h,5.544067254370582,False
CMP-000088,Driver IC,Propagation Delay,LOT-04,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,40.451630633997794,True
CMP-000089,Logic IC,Iddq,LOT-04,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,13.138244916534402,True
CMP-000090,Memory IC,Standby Current,LOT-20,MEDIUM,30.0,0,NORMAL,0h_24h_96h,26.05880477001393,True
CMP-000091,ADC,Leakage Current,LOT-17,LOW,0.0,0,NORMAL,0h_24h_96h,5.428189656162278,False
CMP-000092,Driver IC,Propagation Delay,LOT-19,LOW,0.0,0,NORMAL,0h_24h_96h,18.69222607567434,False
CMP-000093,Logic IC,Iddq,LOT-04,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,35.0061650490741,True
CMP-000094,Memory IC,Standby Current,LOT-19,LOW,0.0,0,NORMAL,0h_24h_96h,26.840954695854805,False
CMP-000095,ADC,Leakage Current,LOT-08,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,20.432788951845016,True
CMP-000096,Driver IC,Propagation Delay,LOT-09,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,35.038582435436545,True
CMP-000097,Logic IC,Iddq,LOT-19,LOW,15.0,0,NORMAL,0h_24h_96h,10.969122903306884,False
CMP-000098,Memory IC,Standby Current,LOT-14,MEDIUM,30.0,0,NORMAL,0h_24h_96h,25.52432752036394,True
CMP-000099,ADC,Leakage Current,LOT-20,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,7.100201416578613,True
CMP-000100,Driver IC,Propagation Delay,LOT-13,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,44.75256792650589,True
CMP-000101,Logic IC,Iddq,LOT-13,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,38.61090869060847,True
CMP-000102,Memory IC,Standby Current,LOT-06,LOW,0.0,0,NORMAL,0h_24h_96h,26.69596994280047,False
CMP-000103,ADC,Leakage Current,LOT-18,LOW,0.0,0,NORMAL,0h_24h_96h,5.428189656162278,False
CMP-000104,Driver IC,Propagation Delay,LOT-19,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,39.029492672394845,True
CMP-000105,Logic IC,Iddq,LOT-07,LOW,15.0,0,NORMAL,0h_24h_96h,11.109664102513225,False
CMP-000106,Memory IC,Standby Current,LOT-07,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,69.1601656058567,True
CMP-000107,ADC,Leakage Current,LOT-11,LOW,0.0,0,NORMAL,0h_24h_96h,5.548141541281337,False
CMP-000108,Driver IC,Propagation Delay,LOT-02,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,41.8446450081317,True
CMP-000109,Logic IC,Iddq,LOT-07,LOW,0.0,0,NORMAL,0h_24h_96h,10.448726731349202,False
CMP-000110,Memory IC,Standby Current,LOT-08,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,69.31168348743174,True
CMP-000111,ADC,Leakage Current,LOT-19,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,20.21370280930309,True
CMP-000112,Driver IC,Propagation Delay,LOT-06,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,39.90077403520182,True
CMP-000113,Logic IC,Iddq,LOT-17,LOW,0.0,0,NORMAL,0h_24h_96h,10.945842095502645,False
CMP-000114,Memory IC,Standby Current,LOT-02,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,64.58561857607029,True
CMP-000115,ADC,Leakage Current,LOT-14,LOW,21.0,0,NORMAL,0h_24h_96h,5.6354721076079874,False
CMP-000116,Driver IC,Propagation Delay,LOT-18,LOW,0.0,0,NORMAL,0h_24h_96h,18.02767486363583,False
CMP-000117,Logic IC,Iddq,LOT-05,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,13.391388928968258,True
CMP-000118,Memory IC,Standby Current,LOT-09,LOW,15.0,0,NORMAL,0h_24h_96h,26.64954707245942,False
CMP-000119,ADC,Leakage Current,LOT-08,LOW,15.0,0,NORMAL,0h_24h_96h,5.17334312794596,False
CMP-000120,Driver IC,Propagation Delay,LOT-19,LOW,0.0,0,NORMAL,0h_24h_96h,18.800488503834387,False
CMP-000121,Logic IC,Iddq,LOT-20,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,37.09315518531746,True
CMP-000122,Memory IC,Standby Current,LOT-19,MEDIUM,30.0,0,NORMAL,0h_24h_96h,26.10941339503717,True
CMP-000123,ADC,Leakage Current,LOT-20,MEDIUM,30.0,0,NORMAL,0h_24h_96h,5.465092503857227,True
CMP-000124,Driver IC,Propagation Delay,LOT-08,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,40.42759769557768,True
CMP-000125,Logic IC,Iddq,LOT-03,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,40.941129787037084,True
CMP-000126,Memory IC,Standby Current,LOT-09,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,60.902883188594004,True
CMP-000127,ADC,Leakage Current,LOT-10,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,7.2330449375228065,True
CMP-000128,Driver IC,Propagation Delay,LOT-07,LOW,0.0,0,NORMAL,0h_24h_96h,18.86118393309025,False
CMP-000129,Logic IC,Iddq,LOT-07,LOW,15.0,0,NORMAL,0h_24h_96h,10.601091483201051,False
CMP-000130,Memory IC,Standby Current,LOT-19,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,30.825132963316076,True
CMP-000131,ADC,Leakage Current,LOT-03,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,7.513914001540268,True
CMP-000132,Driver IC,Propagation Delay,LOT-20,LOW,0.0,0,NORMAL,0h_24h_96h,18.457344172017372,False
CMP-000133,Logic IC,Iddq,LOT-02,MEDIUM,36.0,0,NORMAL,0h_24h_96h,10.749498842460314,True
CMP-000134,Memory IC,Standby Current,LOT-01,MEDIUM,30.0,0,NORMAL,0h_24h_96h,26.351677162557603,True
CMP-000135,ADC,Leakage Current,LOT-13,LOW,15.0,0,NORMAL,0h_24h_96h,5.770939957187656,False
CMP-000136,Driver IC,Propagation Delay,LOT-19,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,39.26419661270347,True
CMP-000137,Logic IC,Iddq,LOT-11,MEDIUM,30.0,0,NORMAL,0h_24h_96h,10.845659769973537,True
CMP-000138,Memory IC,Standby Current,LOT-11,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,30.955489786814507,True
CMP-000139,ADC,Leakage Current,LOT-10,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,20.924573873639527,True
CMP-000140,Driver IC,Propagation Delay,LOT-13,MEDIUM,30.0,0,NORMAL,0h_24h_96h,18.02767486363583,True
CMP-000141,Logic IC,Iddq,LOT-12,LOW,0.0,0,NORMAL,0h_24h_96h,10.628376494444446,False
CMP-000142,Memory IC,Standby Current,LOT-03,LOW,15.0,0,NORMAL,0h_24h_96h,25.432716296745223,False
CMP-000143,ADC,Leakage Current,LOT-12,LOW,0.0,0,NORMAL,0h_24h_96h,5.680257821478411,False
CMP-000144,Driver IC,Propagation Delay,LOT-15,MEDIUM,30.0,0,NORMAL,0h_24h_96h,19.65909905382621,True
CMP-000145,Logic IC,Iddq,LOT-13,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,14.505936794922675,True
CMP-000146,Memory IC,Standby Current,LOT-13,MEDIUM,30.0,0,NORMAL,0h_24h_96h,26.334477892034776,True
CMP-000147,ADC,Leakage Current,LOT-14,MEDIUM,30.0,0,NORMAL,0h_24h_96h,5.634191158170341,True
CMP-000148,Driver IC,Propagation Delay,LOT-18,LOW,15.0,0,NORMAL,0h_24h_96h,17.80063121965846,False
CMP-000149,Logic IC,Iddq,LOT-19,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,36.35576615595239,True
CMP-000150,Memory IC,Standby Current,LOT-19,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,67.71884392469667,True
CMP-000151,ADC,Leakage Current,LOT-18,MEDIUM,30.0,0,NORMAL,0h_24h_96h,5.162052356403067,True
CMP-000152,Driver IC,Propagation Delay,LOT-11,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,39.35403752659804,True
CMP-000153,Logic IC,Iddq,LOT-09,LOW,0.0,0,NORMAL,0h_24h_96h,10.454441488095238,False
CMP-000154,Memory IC,Standby Current,LOT-10,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,31.528288060294624,True
CMP-000155,ADC,Leakage Current,LOT-04,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,21.39512352144369,True
CMP-000156,Driver IC,Propagation Delay,LOT-05,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,20.898818302267564,True
CMP-000157,Logic IC,Iddq,LOT-20,LOW,0.0,0,NORMAL,0h_24h_96h,10.631600458730155,False
CMP-000158,Memory IC,Standby Current,LOT-05,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,84.14767708653572,True
CMP-000159,ADC,Leakage Current,LOT-05,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,20.86265372391611,True
CMP-000160,Driver IC,Propagation Delay,LOT-02,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,35.78812325459592,True
CMP-000161,Logic IC,Iddq,LOT-17,LOW,0.0,0,NORMAL,0h_24h_96h,10.601952323015878,False
CMP-000162,Memory IC,Standby Current,LOT-18,MEDIUM,30.0,0,NORMAL,0h_24h_96h,27.099638759252162,True
CMP-000163,ADC,Leakage Current,LOT-02,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,21.307623942570206,True
CMP-000164,Driver IC,Propagation Delay,LOT-13,MEDIUM,30.0,0,NORMAL,0h_24h_96h,18.72726447776248,True
CMP-000165,Logic IC,Iddq,LOT-02,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,40.300308647619076,True
CMP-000166,Memory IC,Standby Current,LOT-16,LOW,0.0,0,NORMAL,0h_24h_96h,26.015344263928103,False
CMP-000167,ADC,Leakage Current,LOT-16,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,6.630757840189009,True
CMP-000168,Driver IC,Propagation Delay,LOT-05,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,36.50601085509283,True
CMP-000169,Logic IC,Iddq,LOT-16,MEDIUM,30.0,0,NORMAL,0h_24h_96h,10.459525317195766,True
CMP-000170,Memory IC,Standby Current,LOT-05,MEDIUM,30.0,0,NORMAL,0h_24h_96h,26.07657808218052,True
CMP-000171,ADC,Leakage Current,LOT-09,LOW,15.0,0,NORMAL,0h_24h_96h,5.119703770911741,False
CMP-000172,Driver IC,Propagation Delay,LOT-05,LOW,0.0,0,NORMAL,0h_24h_96h,18.189044437000057,False
CMP-000173,Logic IC,Iddq,LOT-08,LOW,0.0,0,NORMAL,0h_24h_96h,10.133656549999996,False
CMP-000174,Memory IC,Standby Current,LOT-20,MEDIUM,30.0,0,NORMAL,0h_24h_96h,26.616103122676485,True
CMP-000175,ADC,Leakage Current,LOT-20,LOW,0.0,0,NORMAL,0h_24h_96h,5.273353752131305,False
CMP-000176,Driver IC,Propagation Delay,LOT-06,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,42.438868529032945,True
CMP-000177,Logic IC,Iddq,LOT-18,LOW,0.0,0,NORMAL,0h_24h_96h,10.82818339272487,False
CMP-000178,Memory IC,Standby Current,LOT-06,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,78.67128121127269,True
CMP-000179,ADC,Leakage Current,LOT-04,LOW,21.0,0,NORMAL,0h_24h_96h,5.592964668955887,False
CMP-000180,Driver IC,Propagation Delay,LOT-12,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,39.16141269225425,True
CMP-000181,Logic IC,Iddq,LOT-04,LOW,0.0,0,NORMAL,0h_24h_96h,10.66367781746032,False
CMP-000182,Memory IC,Standby Current,LOT-01,MEDIUM,30.0,0,NORMAL,0h_24h_96h,25.569215979331954,True
CMP-000183,ADC,Leakage Current,LOT-19,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,19.445145348583445,True
CMP-000184,Driver IC,Propagation Delay,LOT-13,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,35.757654837240906,True
CMP-000185,Logic IC,Iddq,LOT-14,LOW,0.0,0,NORMAL,0h_24h_96h,10.427434612698413,False
CMP-000186,Memory IC,Standby Current,LOT-08,LOW,0.0,0,NORMAL,0h_24h_96h,25.54984424462383,False
CMP-000187,ADC,Leakage Current,LOT-17,LOW,0.0,0,NORMAL,0h_24h_96h,5.428189656162278,False
CMP-000188,Driver IC,Propagation Delay,LOT-20,MEDIUM,30.0,0,NORMAL,0h_24h_96h,18.277153001701443,True
CMP-000189,Logic IC,Iddq,LOT-10,LOW,0.0,0,NORMAL,0h_24h_96h,10.55670936534391,False
CMP-000190,Memory IC,Standby Current,LOT-05,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,72.95768382707203,True
CMP-000191,ADC,Leakage Current,LOT-20,LOW,0.0,0,NORMAL,0h_24h_96h,5.378746362122229,False
CMP-000192,Driver IC,Propagation Delay,LOT-20,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,20.12936715792802,True
CMP-000193,Logic IC,Iddq,LOT-01,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,14.337227348809526,True
CMP-000194,Memory IC,Standby Current,LOT-19,LOW,15.0,0,NORMAL,0h_24h_96h,27.03984653887437,False
CMP-000195,ADC,Leakage Current,LOT-11,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,22.3033938892935,True
CMP-000196,Driver IC,Propagation Delay,LOT-08,LOW,15.0,0,NORMAL,0h_24h_96h,17.950300688529623,False
CMP-000197,Logic IC,Iddq,LOT-10,LOW,0.0,0,NORMAL,0h_24h_96h,10.573227870634925,False
CMP-000198,Memory IC,Standby Current,LOT-07,MEDIUM,30.0,0,NORMAL,0h_24h_96h,25.268803020716266,True
CMP-000199,ADC,Leakage Current,LOT-05,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,6.754180458228303,True
CMP-000200,Driver IC,Propagation Delay,LOT-05,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,41.36911065724677,True
CMP-000201,Logic IC,Iddq,LOT-03,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,35.16297022976189,True
CMP-000202,Memory IC,Standby Current,LOT-01,LOW,0.0,0,NORMAL,0h_24h_96h,26.453547046740166,False
CMP-000203,ADC,Leakage Current,LOT-08,LOW,0.0,0,NORMAL,0h_24h_96h,5.486944492324808,False
CMP-000204,Driver IC,Propagation Delay,LOT-11,MEDIUM,30.0,0,NORMAL,0h_24h_96h,18.810703427754937,True
CMP-000205,Logic IC,Iddq,LOT-06,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,38.4843664339947,True
CMP-000206,Memory IC,Standby Current,LOT-02,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,59.37510734851058,True
CMP-000207,ADC,Leakage Current,LOT-18,CRITICAL,100.0,1,SUDDEN_ANOMALY,0h_24h_96h,6.586829578565179,True
CMP-000208,Driver IC,Propagation Delay,LOT-03,LOW,15.0,0,NORMAL,0h_24h_96h,18.870141859997283,False
CMP-000209,Logic IC,Iddq,LOT-18,MEDIUM,30.0,0,NORMAL,0h_24h_96h,10.8939459313492,True
CMP-000210,Memory IC,Standby Current,LOT-07,LOW,0.0,0,NORMAL,0h_24h_96h,26.18480528644554,False
CMP-000211,ADC,Leakage Current,LOT-08,CRITICAL,100.0,1,GRADUAL_DRIFT,0h_24h_96h,18.925575583431275,True
CMP-000212,Driver IC,Propagation Delay,LOT-02,CRITICAL,100.0,1,LATENT_DEFECT,0h_24h_96h,39.8288479305195,True
CMP-000213,Logic IC,Iddq,LOT-16,LOW,0.0,0,NORMAL,0h_24h_96h,10.630715214285718,False
