component_id,component_type,parameter_name,unit,lot_id,temperature_c,value_0h,value_24h,value_96h,value_168h
CMP-000036,Driver IC,Propagation Delay,ns,LOT-20,122.6,17.397,17.2484,17.3235,17.9704
CMP-000037,Logic IC,Iddq,µA,LOT-14,125.21,10.2674,10.6382,10.9472,11.3081
CMP-000038,Memory IC,Standby Current,µA,LOT-06,124.6,24.2245,26.592,34.7963,60.8973
CMP-000039,ADC,Leakage Current,µA,LOT-14,126.63,5.2529,6.266,10.1184,19.1443
CMP-000040,Driver IC,Propagation Delay,ns,LOT-17,124.46,17.5502,17.5559,18.1412,18.1386
CMP-000041,Logic IC,Iddq,µA,LOT-10,124.2,10.0424,10.2509,10.447,10.8309
CMP-000042,Memory IC,Standby Current,µA,LOT-15,126.6,24.8894,28.9672,44.8913,63.2977
CMP-000043,ADC,Leakage Current,µA,LOT-20,123.73,4.9723,5.1018,5.2262,5.4406
CMP-000044,Driver IC,Propagation Delay,ns,LOT-03,127.91,17.8935,18.1929,18.41,18.7123
CMP-000045,Logic IC,Iddq,µA,LOT-05,125.01,9.8848,10.4104,10.617,10.9811
CMP-000046,Memory IC,Standby Current,µA,LOT-16,123.72,24.3684,25.0425,25.4081,26.1635
CMP-000047,ADC,Leakage Current,µA,LOT-02,122.76,4.6704,5.3303,9.7711,21.918
CMP-000048,Driver IC,Propagation Delay,ns,LOT-15,125.7,18.2517,18.5026,18.6003,18.8664
CMP-000049,Logic IC,Iddq,µA,LOT-15,123.54,10.4628,26.163,12.9487,13.7724
CMP-000050,Memory IC,Standby Current,µA,LOT-04,124.46,24.9208,25.7469,25.7863,26.6766
CMP-000051,ADC,Leakage Current,µA,LOT-15,123.76,4.9676,5.1486,5.2289,5.451
CMP-000052,Driver IC,Propagation Delay,ns,LOT-10,125.83,18.0389,19.3267,28.5364,43.5459
CMP-000053,Logic IC,Iddq,µA,LOT-12,124.89,10.1174,10.3805,10.5448,10.6784
CMP-000054,Memory IC,Standby Current,µA,LOT-10,122.83,25.1513,25.1289,26.2662,26.5181
CMP-000055,ADC,Leakage Current,µA,LOT-20,123.27,5.1453,6.589,12.2065,18.9452
CMP-000056,Driver IC,Propagation Delay,ns,LOT-16,125.37,18.1675,30.106,19.9943,21.2773
CMP-000057,Logic IC,Iddq,µA,LOT-18,125.77,9.8058,25.3589,10.6136,12.8877
CMP-000058,Memory IC,Standby Current,µA,LOT-20,123.45,23.9524,24.2704,24.9532,25.3017
CMP-000059,ADC,Leakage Current,µA,LOT-19,125.05,5.3646,6.2071,12.5927,20.1851
CMP-000060,Driver IC,Propagation Delay,ns,LOT-05,128.82,16.597,16.7847,16.6954,17.1555
CMP-000061,Logic IC,Iddq,µA,LOT-14,128.08,9.9125,10.8018,19.7881,33.9437
CMP-000062,Memory IC,Standby Current,µA,LOT-07,127.5,25.724,26.241,26.9918,27.0379
CMP-000063,ADC,Leakage Current,µA,LOT-18,124.49,4.8288,4.9262,4.8885,5.1147
CMP-000064,Driver IC,Propagation Delay,ns,LOT-20,123.02,18.175,18.4276,18.5517,19.0965
CMP-000065,Logic IC,Iddq,µA,LOT-18,124.35,10.0747,11.8559,19.7416,30.7038
CMP-000066,Memory IC,Standby Current,µA,LOT-10,123.76,25.0738,37.9118,27.1745,27.9716
CMP-000067,ADC,Leakage Current,µA,LOT-18,123.54,4.8308,4.9012,5.1149,5.1699
CMP-000068,Driver IC,Propagation Delay,ns,LOT-03,123.18,17.9598,18.2184,18.6885,18.2454
CMP-000069,Logic IC,Iddq,µA,LOT-19,125.42,9.9895,10.2679,10.4669,10.5457
CMP-000070,Memory IC,Standby Current,µA,LOT-10,126.17,25.2186,25.778,25.3998,25.2757
CMP-000071,ADC,Leakage Current,µA,LOT-10,125.77,4.9541,6.5142,12.2329,19.7454
CMP-000072,Driver IC,Propagation Delay,ns,LOT-01,126.28,18.633,20.0516,28.0362,40.1449
CMP-000073,Logic IC,Iddq,µA,LOT-15,123.08,10.1402,10.6482,10.9141,11.3023
CMP-000074,Memory IC,Standby Current,µA,LOT-07,125.09,24.9189,24.9154,25.0921,25.539
CMP-000075,ADC,Leakage Current,µA,LOT-02,124.77,4.7802,5.622,10.4849,18.3067
CMP-000076,Driver IC,Propagation Delay,ns,LOT-18,125.06,18.3011,19.6774,27.4109,41.1479
CMP-000077,Logic IC,Iddq,µA,LOT-15,124.7,9.9508,10.2443,10.445,10.7156
CMP-000078,Memory IC,Standby Current,µA,LOT-20,124.28,24.8346,39.7874,28.2075,34.2281
CMP-000079,ADC,Leakage Current,µA,LOT-13,120.99,4.9766,6.5626,11.2654,17.9214
CMP-000080,Driver IC,Propagation Delay,ns,LOT-08,124.5,18.4905,20.9071,26.459,40.7342
CMP-000081,Logic IC,Iddq,µA,LOT-12,124.46,10.0065,12.1816,18.1975,31.9784
CMP-000082,Memory IC,Standby Current,µA,LOT-12,123.53,24.0193,37.9709,27.0737,32.6812
CMP-000083,ADC,Leakage Current,µA,LOT-02,123.49,4.6913,4.9725,5.1158,5.1721
CMP-000084,Driver IC,Propagation Delay,ns,LOT-10,126.42,17.8697,31.899,19.6661,19.884
CMP-000085,Logic IC,Iddq,µA,LOT-17,124.39,9.7988,10.0338,10.3888,10.5319
CMP-000086,Memory IC,Standby Current,µA,LOT-17,124.78,25.2116,26.5595,46.3153,68.4388
CMP-000087,ADC,Leakage Current,µA,LOT-13,124.07,5.0996,5.3438,5.39,5.6946
CMP-000088,Driver IC,Propagation Delay,ns,LOT-04,124.14,17.9151,18.9175,26.4255,41.7105
CMP-000089,Logic IC,Iddq,µA,LOT-04,125.46,10.578,23.6144,11.417,12.8106
CMP-000090,Memory IC,Standby Current,µA,LOT-20,125.43,25.332,24.6649,25.5977,26.1363
CMP-000091,ADC,Leakage Current,µA,LOT-17,127.06,4.9194,5.1032,5.2981,5.3925
CMP-000092,Driver IC,Propagation Delay,ns,LOT-19,122.95,18.1381,18.2626,18.4427,18.7671
CMP-000093,Logic IC,Iddq,µA,LOT-04,126.66,9.9842,12.276,20.4494,35.2275
CMP-000094,Memory IC,Standby Current,µA,LOT-19,122.89,25.5837,26.1844,26.622,26.8327
CMP-000095,ADC,Leakage Current,µA,LOT-08,125.18,4.9533,6.6854,10.9956,20.8465
CMP-000096,Driver IC,Propagation Delay,ns,LOT-09,124.44,18.3943,20.0374,23.9072,34.6302
CMP-000097,Logic IC,Iddq,µA,LOT-19,124.49,10.2305,10.5557,10.5579,11.0132
CMP-000098,Memory IC,Standby Current,µA,LOT-14,124.99,24.0146,24.7988,25.1206,25.676
CMP-000099,ADC,Leakage Current,µA,LOT-20,126.02,4.9113,11.3022,5.8177,7.0886
CMP-000100,Driver IC,Propagation Delay,ns,LOT-13,125.66,18.676,19.3241,28.6669,46.0518
CMP-000101,Logic IC,Iddq,µA,LOT-13,124.77,9.9781,11.865,20.8437,39.6028
CMP-000102,Memory IC,Standby Current,µA,LOT-06,124.7,25.2297,25.7638,26.4098,26.9663
CMP-000103,ADC,Leakage Current,µA,LOT-18,124.77,5.003,5.126,5.2719,5.5381
CMP-000104,Driver IC,Propagation Delay,ns,LOT-19,125.01,18.2865,20.3737,26.7885,42.8114
CMP-000105,Logic IC,Iddq,µA,LOT-07,125.9,10.1683,10.5217,10.8919,11.1555
CMP-000106,Memory IC,Standby Current,µA,LOT-07,123.27,26.0614,28.6622,40.2851,77.521
CMP-000107,ADC,Leakage Current,µA,LOT-11,124.65,5.1712,5.3041,5.3439,5.6492
CMP-000108,Driver IC,Propagation Delay,ns,LOT-02,127.07,17.6934,18.6656,27.3709,40.2488
CMP-000109,Logic IC,Iddq,µA,LOT-07,125.02,9.6222,9.9337,10.1445,10.435
CMP-000110,Memory IC,Standby Current,µA,LOT-08,126.05,24.4586,28.0606,43.1191,74.9352
CMP-000111,ADC,Leakage Current,µA,LOT-19,123.71,4.9316,6.5384,11.6324,17.8806
CMP-000112,Driver IC,Propagation Delay,ns,LOT-06,122.6,17.4128,18.2727,25.5767,37.9967
CMP-000113,Logic IC,Iddq,µA,LOT-17,124.53,10.2254,10.4545,10.6308,10.9699
CMP-000114,Memory IC,Standby Current,µA,LOT-02,123.16,25.4182,29.6645,39.6107,57.0626
CMP-000115,ADC,Leakage Current,µA,LOT-14,123.68,5.0993,5.3846,5.5232,5.6204
CMP-000116,Driver IC,Propagation Delay,ns,LOT-18,121.63,17.4797,17.4443,17.8011,17.7075
CMP-000117,Logic IC,Iddq,µA,LOT-05,125.84,9.676,25.3624,10.6647,14.2356
CMP-000118,Memory IC,Standby Current,µA,LOT-09,125.93,25.431,25.4944,26.4673,26.4828
CMP-000119,ADC,Leakage Current,µA,LOT-08,122.66,4.6797,4.8325,5.0667,5.2403
CMP-000120,Driver IC,Propagation Delay,ns,LOT-19,124.28,18.0791,18.4212,18.6161,18.7409
CMP-000121,Logic IC,Iddq,µA,LOT-20,127.31,10.0893,13.0732,19.9724,39.4368
CMP-000122,Memory IC,Standby Current,µA,LOT-19,126.79,25.3729,25.5172,25.2353,26.0772
CMP-000123,ADC,Leakage Current,µA,LOT-20,124.34,5.1569,5.1624,5.2473,5.3855
CMP-000124,Driver IC,Propagation Delay,ns,LOT-08,121.87,17.1152,18.7867,26.5868,41.5268
CMP-000125,Logic IC,Iddq,µA,LOT-03,123.99,9.8351,10.9976,18.963,42.6558
CMP-000126,Memory IC,Standby Current,µA,LOT-09,124.97,24.6885,28.1102,36.7916,60.3924
CMP-000127,ADC,Leakage Current,µA,LOT-10,125.41,4.6989,14.1485,6.1275,6.5577
CMP-000128,Driver IC,Propagation Delay,ns,LOT-07,124.21,18.0634,18.4911,18.6662,18.863
CMP-000129,Logic IC,Iddq,µA,LOT-07,126.08,9.6534,10.0802,10.3861,10.5912
CMP-000130,Memory IC,Standby Current,µA,LOT-19,126.29,25.9744,40.983,27.5952,32.7756
CMP-000131,ADC,Leakage Current,µA,LOT-03,124.96,5.226,14.5623,6.2295,7.376
CMP-000132,Driver IC,Propagation Delay,ns,LOT-20,122.37,17.9231,17.906,18.237,18.7449
CMP-000133,Logic IC,Iddq,µA,LOT-02,127.79,9.7679,10.3274,10.4122,10.7245
CMP-000134,Memory IC,Standby Current,µA,LOT-01,126.04,24.9425,25.147,26.2955,25.7519
CMP-000135,ADC,Leakage Current,µA,LOT-13,128.34,5.2071,5.4097,5.642,5.8462
CMP-000136,Driver IC,Propagation Delay,ns,LOT-19,126.24,18.1988,19.5531,26.4518,35.6628
CMP-000137,Logic IC,Iddq,µA,LOT-11,120.57,10.1916,10.1547,10.7901,10.8212
CMP-000138,Memory IC,Standby Current,µA,LOT-11,127.27,25.45,51.6423,27.5426,29.1279
CMP-000139,ADC,Leakage Current,µA,LOT-10,127.68,5.1302,6.6944,11.7373,23.4518
CMP-000140,Driver IC,Propagation Delay,ns,LOT-13,122.86,17.4963,17.1794,17.7492,18.0328
CMP-000141,Logic IC,Iddq,µA,LOT-12,127.56,9.8236,10.1568,10.3007,10.7259
CMP-000142,Memory IC,Standby Current,µA,LOT-03,125.27,24.2014,24.6908,24.9041,25.5659
CMP-000143,ADC,Leakage Current,µA,LOT-12,124.15,5.2512,5.4058,5.4882,5.7642
CMP-000144,Driver IC,Propagation Delay,ns,LOT-15,125.1,18.5747,19.1706,19.2585,19.7016
CMP-000145,Logic IC,Iddq,µA,LOT-13,120.88,9.6324,26.0416,11.8306,14.7156
CMP-000146,Memory IC,Standby Current,µA,LOT-13,125.46,25.0789,26.049,25.6689,26.5418
CMP-000147,ADC,Leakage Current,µA,LOT-14,125.36,5.094,5.2891,5.581,5.7105
CMP-000148,Driver IC,Propagation Delay,ns,LOT-18,124.13,17.0562,17.4884,17.5985,17.5905
CMP-000149,Logic IC,Iddq,µA,LOT-19,123.28,10.2272,12.1381,18.2825,38.0923
CMP-000150,Memory IC,Standby Current,µA,LOT-19,124.98,25.3236,27.381,40.1534,60.451
CMP-000151,ADC,Leakage Current,µA,LOT-18,124.82,4.8426,4.9334,4.9148,5.1131
CMP-000152,Driver IC,Propagation Delay,ns,LOT-11,125.57,18.392,19.6073,25.404,41.0058
CMP-000153,Logic IC,Iddq,µA,LOT-09,127.04,9.6042,9.9634,10.1784,10.4296
CMP-000154,Memory IC,Standby Current,µA,LOT-10,125.8,24.6796,40.6073,28.3896,31.4433
CMP-000155,ADC,Leakage Current,µA,LOT-04,121.48,5.1533,5.7944,9.7848,23.782
CMP-000156,Driver IC,Propagation Delay,ns,LOT-05,122.35,17.4623,27.342,19.0979,21.412
CMP-000157,Logic IC,Iddq,µA,LOT-20,126.75,10.1307,10.2914,10.3884,10.609
CMP-000158,Memory IC,Standby Current,µA,LOT-05,122.36,23.5641,26.4454,46.0769,85.616
CMP-000159,ADC,Leakage Current,µA,LOT-05,125.42,4.6497,5.7051,10.8591,25.6445
CMP-000160,Driver IC,Propagation Delay,ns,LOT-02,123.91,18.0896,19.6402,24.1811,38.1092
CMP-000161,Logic IC,Iddq,µA,LOT-17,126.31,10.0818,10.2123,10.4929,10.5332
CMP-000162,Memory IC,Standby Current,µA,LOT-18,125.31,25.391,26.2992,27.0632,26.8705
CMP-000163,ADC,Leakage Current,µA,LOT-02,124.13,4.8957,5.6642,11.5488,20.1093
CMP-000164,Driver IC,Propagation Delay,ns,LOT-13,126.57,18.4615,18.3757,18.3398,18.7495
CMP-000165,Logic IC,Iddq,µA,LOT-02,124.95,9.891,11.0699,21.8901,39.9208
CMP-000166,Memory IC,Standby Current,µA,LOT-16,127.22,24.6911,25.2112,25.6492,25.9427
CMP-000167,ADC,Leakage Current,µA,LOT-16,124.02,4.7925,12.7318,5.3112,6.7439
CMP-000168,Driver IC,Propagation Delay,ns,LOT-05,124.05,16.9308,18.5725,24.0583,35.9694
CMP-000169,Logic IC,Iddq,µA,LOT-16,125.11,9.7793,9.7557,10.3069,10.5249
CMP-000170,Memory IC,Standby Current,µA,LOT-05,125.14,25.6483,25.681,25.2588,26.2349
CMP-000171,ADC,Leakage Current,µA,LOT-09,125.41,4.7323,4.8751,4.9081,5.0467
CMP-000172,Driver IC,Propagation Delay,ns,LOT-05,124.54,17.6778,17.7651,17.9787,18.2063
CMP-000173,Logic IC,Iddq,µA,LOT-08,124.99,9.5314,9.7539,9.8931,10.0268
CMP-000174,Memory IC,Standby Current,µA,LOT-20,125.97,25.7702,25.4292,26.0884,26.8559
CMP-000175,ADC,Leakage Current,µA,LOT-20,125.87,4.8937,4.9336,5.1102,5.2755
CMP-000176,Driver IC,Propagation Delay,ns,LOT-06,123.03,18.0216,19.0387,27.5997,43.2974
CMP-000177,Logic IC,Iddq,µA,LOT-18,123.96,9.8369,10.2769,10.4446,10.9782
CMP-000178,Memory IC,Standby Current,µA,LOT-06,125.24,25.3111,27.029,45.706,76.6821
CMP-000179,ADC,Leakage Current,µA,LOT-04,126.09,5.0649,5.3449,5.4753,5.568
CMP-000180,Driver IC,Propagation Delay,ns,LOT-12,123.4,17.5302,19.3485,26.5292,40.046
CMP-000181,Logic IC,Iddq,µA,LOT-04,125.68,10.1503,10.3139,10.3962,10.6729
CMP-000182,Memory IC,Standby Current,µA,LOT-01,125.22,24.6053,24.9498,24.5615,25.8578
CMP-000183,ADC,Leakage Current,µA,LOT-19,124.52,4.9856,6.7065,9.8713,20.1922
CMP-000184,Driver IC,Propagation Delay,ns,LOT-13,126.3,17.6265,19.4197,23.828,36.0647
CMP-000185,Logic IC,Iddq,µA,LOT-14,123.8,9.7183,10.0357,10.1526,10.3996
CMP-000186,Memory IC,Standby Current,µA,LOT-08,128.0,24.3221,24.9428,25.0736,25.6981
CMP-000187,ADC,Leakage Current,µA,LOT-17,125.25,4.9938,5.1716,5.2949,5.4161
CMP-000188,Driver IC,Propagation Delay,ns,LOT-20,124.65,17.579,18.1335,17.8664,18.5612
CMP-000189,Logic IC,Iddq,µA,LOT-10,124.16,9.9227,10.224,10.3559,10.5332
CMP-000190,Memory IC,Standby Current,µA,LOT-05,125.82,24.0235,25.2469,41.166,76.3378
CMP-000191,ADC,Leakage Current,µA,LOT-20,125.65,4.9176,5.0308,5.2202,5.4014
CMP-000192,Driver IC,Propagation Delay,ns,LOT-20,125.99,17.512,24.5267,17.8515,20.9268
CMP-000193,Logic IC,Iddq,µA,LOT-01,125.19,10.1215,22.3482,12.3043,14.1924
CMP-000194,Memory IC,Standby Current,µA,LOT-19,125.99,25.7103,26.4317,26.3335,27.1694
CMP-000195,ADC,Leakage Current,µA,LOT-11,123.85,5.3012,6.5054,11.9987,21.5301
CMP-000196,Driver IC,Propagation Delay,ns,LOT-08,129.29,17.131,17.5674,17.7227,17.8264
CMP-000197,Logic IC,Iddq,µA,LOT-10,124.54,9.9501,10.1131,10.433,10.5748
CMP-000198,Memory IC,Standby Current,µA,LOT-07,125.08,23.5185,24.0367,24.7497,25.1524
CMP-000199,ADC,Leakage Current,µA,LOT-05,126.17,4.6552,12.1679,5.6009,6.4913
CMP-000200,Driver IC,Propagation Delay,ns,LOT-05,126.18,18.2142,18.8918,28.1844,39.3073
CMP-000201,Logic IC,Iddq,µA,LOT-03,127.1,10.1195,11.9513,18.8549,34.7321
CMP-000202,Memory IC,Standby Current,µA,LOT-01,125.09,25.4461,25.7319,25.946,26.6761
CMP-000203,ADC,Leakage Current,µA,LOT-08,124.21,5.0818,5.1191,5.3601,5.4595
CMP-000204,Driver IC,Propagation Delay,ns,LOT-11,126.27,17.9754,18.7453,18.6168,18.6093
CMP-000205,Logic IC,Iddq,µA,LOT-06,124.45,9.4234,10.792,18.7815,39.6039
CMP-000206,Memory IC,Standby Current,µA,LOT-02,126.02,25.283,28.5787,37.822,55.6487
CMP-000207,ADC,Leakage Current,µA,LOT-18,124.08,4.4965,11.1981,5.3971,6.5282
CMP-000208,Driver IC,Propagation Delay,ns,LOT-03,124.44,18.1692,18.3822,18.9213,18.9653
CMP-000209,Logic IC,Iddq,µA,LOT-18,126.09,10.3288,10.2881,10.6235,10.8967
CMP-000210,Memory IC,Standby Current,µA,LOT-07,124.19,25.1873,25.2199,25.5923,26.2997
CMP-000211,ADC,Leakage Current,µA,LOT-08,126.47,4.8723,6.1847,9.4577,18.8029
CMP-000212,Driver IC,Propagation Delay,ns,LOT-02,123.85,17.2381,19.3292,26.7727,42.0014
CMP-000213,Logic IC,Iddq,µA,LOT-16,123.07,9.9455,10.3289,10.4173,10.6354
CMP-000214,Memory IC,Standby Current,µA,LOT-13,122.91,25.2224,28.5754,39.1452,56.0903
CMP-000215,ADC,Leakage Current,µA,LOT-20,121.43,4.9896,5.2356,5.297,5.3186
CMP-000216,Driver IC,Propagation Delay,ns,LOT-19,124.71,17.8235,17.7654,18.2691,18.6674
CMP-000217,Logic IC,Iddq,µA,LOT-20,125.19,10.0924,9.9284,10.3933,10.6843
CMP-000218,Memory IC,Standby Current,µA,LOT-02,125.69,25.5906,25.3948,26.4061,27.3011
CMP-000219,ADC,Leakage Current,µA,LOT-11,126.39,5.0962,6.7631,12.2493,18.6871
CMP-000220,Driver IC,Propagation Delay,ns,LOT-15,124.26,17.9665,18.4032,18.5061,18.9917
CMP-000221,Logic IC,Iddq,µA,LOT-02,124.57,9.9576,12.1686,18.9899,34.0924
CMP-000222,Memory IC,Standby Current,µA,LOT-18,121.67,23.4035,23.8557,24.7076,25.1781
CMP-000223,ADC,Leakage Current,µA,LOT-03,126.25,5.153,14.0451,5.5393,7.0456
CMP-000224,Driver IC,Propagation Delay,ns,LOT-01,123.96,17.7829,17.9716,18.2655,18.2668
CMP-000225,Logic IC,Iddq,µA,LOT-05,126.81,9.6133,10.0811,10.6664,10.7276
CMP-000226,Memory IC,Standby Current,µA,LOT-05,123.68,25.1406,26.0809,25.8366,25.6785
CMP-000227,ADC,Leakage Current,µA,LOT-03,124.87,5.0192,6.7251,11.8147,21.2816
CMP-000228,Driver IC,Propagation Delay,ns,LOT-02,124.93,18.1152,17.9619,18.1621,18.3756
CMP-000229,Logic IC,Iddq,µA,LOT-10,124.33,9.5846,12.0894,20.4845,38.3245
CMP-000230,Memory IC,Standby Current,µA,LOT-09,123.65,24.0748,27.9551,37.2285,64.9997
CMP-000231,ADC,Leakage Current,µA,LOT-15,124.58,4.7982,6.0758,9.0996,15.9842
CMP-000232,Driver IC,Propagation Delay,ns,LOT-09,126.54,18.5461,18.6701,19.1131,19.4308
CMP-000233,Logic IC,Iddq,µA,LOT-20,123.54,9.9699,10.2764,10.7209,11.2037
CMP-000234,Memory IC,Standby Current,µA,LOT-19,125.81,25.1562,25.0417,25.0759,25.47
CMP-000235,ADC,Leakage Current,µA,LOT-15,123.22,4.9613,5.042,5.1198,5.2233
CMP-000236,Driver IC,Propagation Delay,ns,LOT-05,125.88,17.4734,30.2021,18.7977,21.1757
CMP-000237,Logic IC,Iddq,µA,LOT-19,124.85,10.371,10.4698,10.8128,10.9818
CMP-000238,Memory IC,Standby Current,µA,LOT-12,126.64,25.3986,26.5626,26.7722,26.7875
CMP-000239,ADC,Leakage Current,µA,LOT-06,126.38,4.7975,6.3553,11.0161,20.5681
CMP-000240,Driver IC,Propagation Delay,ns,LOT-10,124.12,17.8407,18.313,18.9761,18.8527
CMP-000241,Logic IC,Iddq,µA,LOT-06,124.89,10.3301,10.4857,10.8,10.9925
CMP-000242,Memory IC,Standby Current,µA,LOT-17,123.7,25.144,25.3851,25.5399,25.844
CMP-000243,ADC,Leakage Current,µA,LOT-11,124.53,5.0823,5.4195,5.4616,5.5525
CMP-000244,Driver IC,Propagation Delay,ns,LOT-10,121.85,18.0496,18.2521,18.7831,19.1511
CMP-000245,Logic IC,Iddq,µA,LOT-12,125.66,9.9837,10.158,10.321,10.7445
CMP-000246,Memory IC,Standby Current,µA,LOT-19,123.55,25.6119,25.9215,26.6219,26.9137
CMP-000247,ADC,Leakage Current,µA,LOT-06,125.46,4.7743,6.284,11.7127,23.7086
CMP-000248,Driver IC,Propagation Delay,ns,LOT-06,122.13,18.2187,18.5447,18.8843,18.8045
CMP-000249,Logic IC,Iddq,µA,LOT-12,123.0,10.0668,10.0228,10.4639,10.729
CMP-000250,Memory IC,Standby Current,µA,LOT-17,127.49,25.5929,27.2807,45.3878,82.846
CMP-000251,ADC,Leakage Current,µA,LOT-08,125.14,4.8691,4.9706,5.0437,5.1995
CMP-000252,Driver IC,Propagation Delay,ns,LOT-05,125.88,18.1342,19.513,27.0834,40.3748
CMP-000253,Logic IC,Iddq,µA,LOT-12,122.15,10.6907,11.1451,11.1917,11.5228
CMP-000254,Memory IC,Standby Current,µA,LOT-13,123.95,25.2681,25.4886,25.721,26.1253
CMP-000255,ADC,Leakage Current,µA,LOT-15,124.3,5.2785,5.3991,5.4179,5.7028
CMP-000256,Driver IC,Propagation Delay,ns,LOT-06,126.49,17.9125,19.5718,25.8815,37.1653
CMP-000257,Logic IC,Iddq,µA,LOT-11,124.45,9.9323,11.794,22.2847,43.3821
CMP-000258,Memory IC,Standby Current,µA,LOT-17,126.78,23.8161,25.0214,25.2948,25.7662
CMP-000259,ADC,Leakage Current,µA,LOT-04,124.79,5.2307,5.2742,5.4956,5.7118
CMP-000260,Driver IC,Propagation Delay,ns,LOT-01,124.12,17.6869,18.9945,26.7508,37.8111
CMP-000261,Logic IC,Iddq,µA,LOT-17,124.4,10.0968,12.3925,21.3939,41.2289
CMP-000262,Memory IC,Standby Current,µA,LOT-17,126.74,24.3669,24.8267,24.971,25.0513
CMP-000263,ADC,Leakage Current,µA,LOT-11,125.96,5.3007,5.4188,5.666,5.9378
CMP-000264,Driver IC,Propagation Delay,ns,LOT-06,122.27,17.6923,18.4458,25.558,40.2001
CMP-000265,Logic IC,Iddq,µA,LOT-10,124.3,10.4187,10.8314,11.0522,11.3624
CMP-000266,Memory IC,Standby Current,µA,LOT-06,124.92,24.7599,24.9113,25.3152,26.323
CMP-000267,ADC,Leakage Current,µA,LOT-04,124.61,5.1517,5.3269,5.3484,5.4912
CMP-000268,Driver IC,Propagation Delay,ns,LOT-15,122.13,18.0219,19.2952,24.2832,33.2106
CMP-000269,Logic IC,Iddq,µA,LOT-11,126.17,10.0721,10.4258,10.5782,10.7978
